"id","price","city","address","property_size","property_type","air_conditioning","fitness_centre","roof_terrace","parking","swimming_pool","garden","security_system","elevator"
1,"895050.0","London","Belvedere Square, Wimbledon","506.0","End of Terrace",False,False,False,False,False,True,False,False
8,"34515000.0","London","Princes Gate, South Kensington, SW7","9042.0","Town House",True,False,False,False,False,False,False,True
21,"25681500.0","London","Phillimore Gardens, Kensington, London, W8, United Kingdom","5098.0","House",False,False,False,True,False,True,False,True
22,"25740000.0","London","Ilchester Place, London, W14","8425.0","Terraced",False,False,False,False,True,False,False,True
23,"26851500.0","London","Pembroke Gardens, Kensington,  W8","12447.0","Detached",True,True,True,True,False,True,False,True
25,"26910000.0","London","Lancaster Gate, Kensington","1163.0","Semi-Detached",False,False,False,False,False,False,False,False
46,"23341500.0","London","Holland Villas Road, Holland Park, London, W14, United Kingdom","7244.0","House",False,False,False,True,False,True,False,False
47,"23341500.0","London","Chelsea Square, London, SW3","5271.0","Terraced",False,False,True,False,False,False,False,False
48,"23341500.0","London","Holland VIllas W14","7244.0","Villa",False,True,False,True,False,True,False,False
49,"23341500.0","London","Wadham Gardens, London, NW3","6261.0","Detached",False,False,False,True,False,True,False,False
51,"19831500.0","London","Gloucester Lodge, London, NW1","7104.0","Villa",False,False,False,True,False,True,False,False
72,"18427500.0","London","Hamilton Terrace, St John's Wood NW8","6981.0","Detached",False,False,False,True,False,True,False,False
73,"18428350.59","London","Elgin Crescent, London, W11","5456.0","End of Terrace",False,False,False,True,False,True,True,True
74,"18428350.59","London","Elgin Crescent, London, W11","5456.0","Semi-Detached",False,True,False,True,False,True,False,False
96,"17491500.0","London","Queens Grove, St John's Wood, London, NW8","6469.0","Semi-Detached",False,False,False,True,False,True,True,False
97,"17491500.0","London","Redington Road, Hampstead NW3","7262.0","House",False,False,False,True,False,True,True,False
100,"14040000.0","London","Chester Terrace, London, NW1","4445.0","Terraced",True,False,True,False,False,False,False,True
102,"14332500.0","London","The Bishops Avenue, East Finchley, N2","10623.0","Detached",False,True,False,False,True,False,True,True
103,"14332500.0","London","The Bishops Avenue, Hampstead Heath, London, N2, United Kingdom","10697.0","House",False,False,True,False,True,True,False,True
