price,city,address,property_size,property_type,amenities,listing_url,page
895050.0,London,"Belvedere Square, Wimbledon",506.0,End of Terrace,"Grade II listed period cottage,One bedroom,Bathroom (en-suite),Mezzanine storage area,Guest cloakroom,Galley kitchen,South Westerly facing courtyard garden,Scope for moderisation,Quiet cul-de-sac,In the heart of Wimbledon Village",https://www.rightmove.co.uk/properties/157608443,
29250000.0,London,"Chester Square, London",6007.0,House,"Elegant Family Home: 6,007 sq ft on one of Belgravia’s finest squares,Grade II Listed: Built in 1845 by Thomas Cundy II, showcasing Regency architecture,First Time Available in 90 Years: A rare opportunity to own a historic residence,Spacious Layout: Main house + mews, offering a substantial family home,Luxury & Technology: Six bedrooms, six en-suites, passenger lift, smart features,Exceptional Amenities: Handcrafted kitchen, cinema, spa, landscaped terrace,Seamless Blend: Historic charm meets modern comforts,Prime Location: South of Eaton Square, in prestigious Chester Square,Tranquil Setting: Surrounded by manicured gardens in a sought-after enclave",https://www.rightmove.co.uk/properties/146966699,
29250000.0,London,"Lowndes Square, London, SW1X",7106.0,Terraced,"A rare development opportunity,Key building with open westerly aspect towards Sloane Street,Planning permission to create a combined house and mews house totalling approximately 12,643 sq ft,Proposed accommodation for 8 reception rooms, 7 principle bedroom suites and 2 staff bedrooms,Parking, pool, leisure and lift",https://www.rightmove.co.uk/properties/133822685,
29250000.0,London,"Park Place Villas, Little Venice",N/A,House,"8 Bedrooms,5 Bathrooms,4 Receptions,Kitchen/breakfast room,Wine Cellar,Family/entertainment room,Cloakroom,Roof terrace,Indoor Swimming Pool,Gym/Sauna",https://www.rightmove.co.uk/properties/158527481,
34515000.0,London,"Brick Street, Mayfair, London, W1J",12831.0,Terraced,"Luxurious Grade II listed property,Principal bedroom suite with separate dressing room and bathroom,Six further bedroom suites,Two reception rooms,Private gated drive-in courtyard,Underground garage for 3 cars,Swimming pool, sauna and steam room,Cinema room,Separate staff accommodation,EPC Rating = C",https://www.rightmove.co.uk/properties/131927141,
34515000.0,London,"Chester Square, London, SW1W",8721.0,Terraced,"Wonderful key house with large central windows,Good sized passenger lift serving all floors (except 5th floor),Very well proportioned reception rooms,2 principal bedroom suites,Impressive swimming pool, spa and gym,2 roof terrace, including one with ""dumb waiter"" access from kitchen,Smart double garage,EPC Rating = D",https://www.rightmove.co.uk/properties/157808378,
34515000.0,London,"Brick Street, Mayfair, London, England, W1J, United Kingdom",12960.0,House,,https://www.rightmove.co.uk/properties/152245739,
34515000.0,London,"Princes Gate, South Kensington, SW7",9042.0,Town House,"7 Bedrooms, 6 Bathrooms,9,100 Sq Ft / 840 Sq M,4 Reception Rooms,2 Dining Rooms,Internal Passenger Lift,Fully Integrated Lutron Lighting,Air Conditioning Throughout",https://www.rightmove.co.uk/properties/158355242,
34515000.0,London,"Chester Square, London, SW1W",8721.0,Town House,"6 bedrooms,4 reception rooms,5 bathrooms,Garage,Leisure Facilities,Period,Balcony,Communal Garden,Gym,Parking",https://www.rightmove.co.uk/properties/157810892,
34515000.0,London,"Brick Street, Mayfair, London, W1J",12960.0,House,"7 bedrooms,6 reception rooms,7 bathrooms,Period,Balcony,Gym,Roof Terrace,Sauna,Spa,Swimming Pool",https://www.rightmove.co.uk/properties/127390289,
35041500.0,London,"Piccadilly, Mayfair, London, W1J",,Plot,"EPC Rating for Lower Ground Flat: C,EPC Rating for Commercial Areas of Building: F,Parking for up to eight vehicles across the four garages (depending on size of vehicle),Grade II Listed,Period,Roof Terrace,Terraced,Town/City,Town House,Four or more Garages",https://www.rightmove.co.uk/properties/150234857,
35041500.0,London,"Piccadilly, Mayfair",15608.0,House,"Grade II Listed,EPC Rating for Commercial Areas of Building: F,EPC Rating for Lower Ground Flat: C,Parking for up to eight vehicles across the four garages (depending on size of vehicle),Period,Terraced,Town/City,Town House,Four or more Garages",https://www.rightmove.co.uk/properties/141659681,
