price,city,address,property_size,property_type,amenities,listing_url,page
252312.0,Madrid,28022 Madrid,484.0,Duplex,Air conditioning,https://www.properstar.com/listing/102743235,
1141927.0,Madrid,47 Calle de Maldonado,,Condo/Apartment,"Air conditioning,Lift",https://www.properstar.com/listing/93453172,
1620449.0,Madrid,28043 Madrid,2594.0,Condo/Apartment,"Air conditioning,Alarm,Lift,Swimming pool,Garage,Terrace",https://www.properstar.com/listing/104340403,
5426874.0,Madrid,110 Av. de la Victoria,10226.0,Mansion house,"24/7 concierge,Air conditioning,Alarm,Barbecue,Dining room,Dishwasher,Fitness centre,Furnished,Garage,Garden,Guest suites,Hot tub,Indoor pool,Intercom,Internet,Outdoor pool,Parking,Satellite tv,Sauna,Security,Steam room,Swimming pool,Valet,Washing machine,Wine cellar",https://www.properstar.com/listing/79456028,
901579.0,Madrid,Madrid,678.0,Condo/Apartment,"Air conditioning,Furnished,Garage",https://www.properstar.com/listing/104858724,
3045140.0,Madrid,28001 Madrid,2196.0,Condo/Apartment,"24/7 concierge,Air conditioning,Alarm,Fitness centre,Intercom,Internet,Lift,Terrace",https://www.properstar.com/listing/104111924,
2392610.0,Madrid,"Calle de Fernando el Santo, 7, 28010 Madrid, Spain, chamberí",1851.0,Condo/Apartment,"Air conditioning,Alarm,Lift,Security",https://www.properstar.com/listing/104899112,
413269.0,Madrid,28022 Madrid,775.0,Property,"Air conditioning,Terrace",https://www.properstar.com/listing/96984034,
1076674.0,Madrid,Madrid,6028.0,House,"Air conditioning,Alarm,Barbecue,Dining room,Dishwasher,Furnished,Garage,Garden,Hot tub,Internet,Outdoor pool,Parking,Satellite tv,Swimming pool,Washing machine,Wine cellar",https://www.properstar.com/listing/104638127,
4132690.0,Madrid,Madrid,2497.0,Condo/Apartment,"Air conditioning,Furnished,Internet,Lift,Terrace",https://www.properstar.com/listing/102015426,
1250682.0,Madrid,Calle de Puerto Rico,1528.0,Ground-floor apartment with garden,"Air conditioning,Alarm,Dishwasher,Garden,Internet,Lift,Washing machine",https://www.properstar.com/listing/103035136,
500273.0,Madrid,28028 Madrid,506.0,Condo/Apartment,"Air conditioning,Balcony",https://www.properstar.com/listing/105020565,
282763.0,Madrid,28047 Madrid,818.0,Condo/Apartment,"Air conditioning,Lift,Terrace",https://www.properstar.com/listing/105019216,
4893975.0,Madrid,28001 Madrid,3132.0,Condo/Apartment,"Air conditioning,Lift,Balcony",https://www.properstar.com/listing/105019167,
6851565.0,Madrid,28010 Madrid,3843.0,Condo/Apartment,"Air conditioning,Furnished,Garage,Internet,Lift,Terrace",https://www.properstar.com/listing/102017839,
4061999.0,Madrid,28006 Madrid,3434.0,Attic,"Air conditioning,Furnished,Internet,Lift,Terrace,Garage",https://www.properstar.com/listing/102015330,
1222624.0,Madrid,28004 Madrid,1690.0,Condo/Apartment,"Air conditioning,Lift,Balcony",https://www.properstar.com/listing/105019143,
3208272.0,Madrid,28036 Madrid,3940.0,Condo/Apartment,"Air conditioning,Swimming pool,Garage,Garden,Terrace",https://www.properstar.com/listing/105472433,
3045140.0,Madrid,28001 Madrid,2196.0,Condo/Apartment,"24/7 concierge,Air conditioning,Balcony,Fitness centre,Furnished,Garden,Intercom,Internet,Lift,Sauna,Terrace",https://www.properstar.com/listing/103128095,
542687.0,Madrid,28012 Madrid,904.0,Condo/Apartment,Balcony,https://www.properstar.com/listing/105362789,
885266.0,Madrid,28045 Madrid,1410.0,Condo/Apartment,"Air conditioning,Lift,Swimming pool,Fitness centre,Garage,Garden",https://www.properstar.com/listing/105394857,
4078312.0,Madrid,28006 Madrid,2626.0,Condo/Apartment,"24/7 concierge,Air conditioning,Furnished,Intercom,Lift",https://www.properstar.com/listing/103128103,
1957590.0,Madrid,28001 Madrid,1206.0,Condo/Apartment,"Air conditioning,Furnished,Intercom,Lift,Dishwasher,Garage,Terrace,Washing machine",https://www.properstar.com/listing/105470418,
760197.0,Madrid,Madrid,980.0,Condo/Apartment,"Air conditioning,Furnished,Lift",https://www.properstar.com/listing/105284882,
1032085.0,Madrid,28005 Madrid,1313.0,Condo/Apartment,"Air conditioning,Intercom,Lift,Balcony",https://www.properstar.com/listing/103571586,
206417.0,Madrid,Madrid,721.0,Condo/Apartment,Balcony,https://www.properstar.com/listing/105394100,
1740080.0,Madrid,28046 Madrid,1991.0,Condo/Apartment,"24/7 concierge,Air conditioning,Furnished,Intercom,Internet,Lift,Terrace",https://www.properstar.com/listing/104064647,
2827630.0,Madrid,Madrid,3229.0,Condo/Apartment,"Air conditioning,Furnished,Lift,Balcony",https://www.properstar.com/listing/104480681,
538337.0,Madrid,Madrid,797.0,Condo/Apartment,Lift,https://www.properstar.com/listing/100766916,
2338232.0,Madrid,28004 Madrid,1636.0,Condo/Apartment,"24/7 concierge,Air conditioning,Alarm,Balcony,Internet,Lift,Parking",https://www.properstar.com/listing/104029245,
1348562.0,Madrid,28046 Madrid,1528.0,Condo/Apartment,"24/7 concierge,Air conditioning,Furnished,Intercom,Internet,Lift,Terrace",https://www.properstar.com/listing/104064646,
2718875.0,Madrid,28023 Madrid,5823.0,Chalet,"24/7 concierge,Air conditioning,Barbecue,Lift,Parking,Swimming pool",https://www.properstar.com/listing/104101066,
5818392.0,Madrid,28006 Madrid,3821.0,Condo/Apartment,"Air conditioning,Alarm,Barbecue,Intercom,Lift,Sauna,Balcony,Fitness centre,Parking,Swimming pool",https://www.properstar.com/listing/104584657,
1728117.0,Madrid,28014 Madrid,1389.0,Condo/Apartment,"Air conditioning,Furnished,Lift",https://www.properstar.com/listing/105316764,
1468192.0,Madrid,28009 Madrid,1238.0,Condo/Apartment,"Air conditioning,Lift",https://www.properstar.com/listing/105296465,
788474.0,Madrid,28013 Madrid,1044.0,Condo/Apartment,"Air conditioning,Furnished",https://www.properstar.com/listing/105283865,
