price,city,address,property_size,property_type,amenities,listing_url,page
1381188.0,Paris,75003 Paris,818.0,Condo/Apartment,"Air conditioning,Balcony,Intercom,Lift,Parking",https://www.properstar.com/listing/104525019,
617728.0,Paris,75007 Paris,452.0,Condo/Apartment,Internet,https://www.properstar.com/listing/99065664,
817838.0,Paris,75016 Paris,657.0,Condo/Apartment,,https://www.properstar.com/listing/104003922,
2283855.0,Paris,3rd arrondissement,1141.0,Condo/Apartment,,https://www.properstar.com/listing/105369742,
3257212.0,Paris,75016 Paris,2067.0,Condo/Apartment,"Balcony,Intercom,Internet,Lift,Washing machine",https://www.properstar.com/listing/103912203,
542687.0,Paris,75017 Paris,495.0,Condo/Apartment,,https://www.properstar.com/listing/103270790,
3099517.0,Paris,75007 Paris,1302.0,Condo/Apartment,"Intercom,Lift,Terrace",https://www.properstar.com/listing/104172948,
1283309.0,Paris,75005 Paris,1227.0,Duplex,"Hot tub,Intercom,Internet,Wine cellar",https://www.properstar.com/listing/97090368,
1794457.0,Paris,75116 Paris,1345.0,Condo/Apartment,"Lift,24/7 concierge,Balcony,Parking",https://www.properstar.com/listing/104643379,
5100609.0,Paris,75008 Paris,3122.0,Condo/Apartment,"Lift,24/7 concierge,Air conditioning,Intercom,Parking",https://www.properstar.com/listing/105247396,
2718875.0,Paris,6 Avenue de Lowendal,1464.0,Condo/Apartment,"24/7 concierge,Balcony,Dishwasher,Intercom,Lift,Parking,Washing machine",https://www.properstar.com/listing/68433280,
799349.0,Paris,75015 Paris,710.0,Condo/Apartment,"Intercom,Internet,Lift",https://www.properstar.com/listing/105073527,
1397502.0,Paris,75016 Paris,1184.0,Condo/Apartment,"Balcony,Terrace",https://www.properstar.com/listing/102700811,
1979341.0,Paris,"34 Rue du Four, 75006 Paris, France",1119.0,Three-storey apartment,"Dining room,Dishwasher,Garden,Intercom,Internet,Washing machine,Wine cellar,Yoga studio",https://www.properstar.com/listing/104400740,
2338232.0,Paris,"Place René-Char, 2 Pl. René-Char",1173.0,Condo/Apartment,"24/7 concierge,Air conditioning,Alarm,Dining room,Dishwasher,Doorman,Furnished,Guest suites,Intercom,Internet,Lift,Satellite tv,Security,Washing machine,Wine cellar",https://www.properstar.com/listing/105409670,
2164224.0,Paris,7 Rue de l'Échelle,990.0,Condo/Apartment,"Air conditioning,Furnished,Wine cellar",https://www.properstar.com/listing/105348816,
1598698.0,Paris,2nd arrondissement,624.0,Condo/Apartment,,https://www.properstar.com/listing/105309446,
2816754.0,Paris,Paris,1722.0,Condo/Apartment,Lift,https://www.properstar.com/listing/103014806,
1740080.0,Paris,75005 Paris,1755.0,Condo/Apartment,"24/7 concierge,Intercom,Internet",https://www.properstar.com/listing/98876005,
568789.0,Paris,75004 Paris,237.0,Condo/Apartment,"Air conditioning,Internet,Lift",https://www.properstar.com/listing/102362407,
4339324.0,Paris,75006 Paris,1819.0,Condo/Apartment,"Intercom,Lift,Garage,Terrace",https://www.properstar.com/listing/95259091,
8156625.0,Paris,Paris,3767.0,Mansion house,"Lift,Sauna",https://www.properstar.com/listing/103014815,
587277.0,Paris,75013 Paris,409.0,Condo/Apartment,"24/7 concierge,Intercom,Internet,Terrace,Garden,Lift",https://www.properstar.com/listing/101572245,
1247420.0,Paris,75005 Paris,840.0,Condo/Apartment,Terrace,https://www.properstar.com/listing/102971102,
2990762.0,Paris,75001 Paris,1410.0,Condo/Apartment,"Intercom,Lift,Wine cellar",https://www.properstar.com/listing/103719724,
2164224.0,Paris,75017 Paris,2024.0,Condo/Apartment,"Balcony,Intercom,Internet,Lift,Parking",https://www.properstar.com/listing/104830857,
1413815.0,Paris,75005 Paris,764.0,Condo/Apartment,"Lift,Balcony,Washing machine",https://www.properstar.com/listing/104905068,
1325723.0,Paris,75005 Paris,721.0,Condo/Apartment,"24/7 concierge,Intercom,Dishwasher,Furnished,Internet",https://www.properstar.com/listing/102450966,
271887.0,Paris,75116 Paris,,Condo/Apartment,,https://www.properstar.com/listing/96791969,
662318.0,Paris,75007 Paris,420.0,Condo/Apartment,"Intercom,Lift",https://www.properstar.com/listing/102536642,
2153349.0,Paris,75007 Paris,1259.0,Condo/Apartment,"Intercom,Internet,Lift",https://www.properstar.com/listing/99789632,
1196305.0,Paris,75007 Paris,624.0,Condo/Apartment,"Lift,Balcony",https://www.properstar.com/listing/104904623,
1919526.0,Paris,75014 Paris,1410.0,House,"Internet,Garden,Terrace",https://www.properstar.com/listing/101772483,
2245791.0,Paris,75016 Paris,2013.0,Condo/Apartment,"Intercom,Internet,Lift,Balcony",https://www.properstar.com/listing/104645792,
1767269.0,Paris,75016 Paris,1593.0,Condo/Apartment,"Balcony,Lift",https://www.properstar.com/listing/103603470,
